filename,scientific_name,common_name,latitude,longitude,sighting_date,blip_caption,country,state,city,avg_temp_C,elevation_m,NDVI_value,NDVI_Category,dist_to_water_m
img_4f79cdef656bc61a.jpg,Icthyophaga vocifer,African Fish-Eagle,-8.0266916667,39.767575,2026-01-14,there is a bird that is sitting in a tree with no leaves,Tanzania,Pwani Region,Rural/Wilderness,27.8,0.0,0.5983,Moderate Vegetation,11031.89
img_e2cb7d6ccd7ca03b.jpg,Orthetrum brunneum,Southern Skimmer,39.7765252628,45.5613901714,2025-06-18,there is a dragonfly that is sitting on a branch,Armenia,Vayots Dzor Province,Rural/Wilderness,15.1,1670.0,0.5404,Moderate Vegetation,0.0
img_6ec28c18c5deb490.jpg,Passerella iliaca,Fox Sparrow,41.3177020612,-81.485910019,2025-04-23,there is a small brown and white bird standing on the ground,United States,Ohio,Macedonia,14.5,351.0,0.5195,Moderate Vegetation,3245.0
img_0a1ae6753bb27195.jpg,Aegithalos caudatus,Long-tailed Tit,52.5294184253,13.4361611469,2025-12-14,there is a small bird sitting on a branch of a tree,Germany,Berlin,Berlin,4.6,61.0,0.1483,Sparse/Bare Soil,2250.0
img_86ae4e3daedff809.jpg,Strix aluco,Tawny Owl,54.6131681487,39.7322783657,2026-01-16,there is a owl that is sitting on a tree branch,Russia,Ryazan Oblast,Ryazan,-15.7,143.0,0.1056,Sparse/Bare Soil,2012.46
img_78e6f58f8309dc39.jpg,Bombycilla garrulus,Bohemian Waxwing,54.6117798058,39.7479645528,2026-01-16,there is a bird sitting on a tree branch with no leaves,Russia,Ryazan Oblast,Ryazan,-15.7,140.0,0.065,Non-Vegetated,2012.46
img_733fe2965fdd4ba2.jpg,Dendrocopos syriacus,Syrian Woodpecker,54.6100252968,39.7466127195,2026-01-16,there is a bird that is sitting on a branch in the tree,Russia,Ryazan Oblast,Ryazan,-15.7,137.0,0.065,Non-Vegetated,2423.32
img_23d72cd522605fb3.jpg,Aythya ferina,Common Pochard,54.5448072595,17.7530871704,2026-01-18,there are three ducks swimming in the water together,Poland,Lębork,Lębork,-6.8,27.0,0.3138,Moderate Vegetation,0.0
img_9a0c77d998152618.jpg,Turdus merula,Eurasian Blackbird,48.8033571228,2.2677202974,2025-04-13,there is a black bird sitting on a branch in a tree,France,Ile-de-France,Clamart,14.0,96.0,0.426,Moderate Vegetation,3018.69
img_416e322573a4a70d.jpg,Rothschildia orizaba,Orizaba silkmoth,9.5525731944,-83.8067626944,2026-01-18,someone holding a moth in their hand with a person standing nearby,Costa Rica,San Jose Province,Copey,14.3,2218.0,0.8144,Dense Canopy,0.0
img_bf976a62c3406b72.jpg,Otospermophilus beecheyi,California Ground Squirrel,32.7570451995,-117.2393532341,2026-01-16,there is a squirrel that is standing on a rock in the grass,United States,California,San Diego,17.3,0.0,0.4268,Moderate Vegetation,450.0
img_e5812ef103b796b4.jpg,Passerculus sandwichensis,Savannah Sparrow,32.7570451995,-117.2393532341,2026-01-16,there is a bird that is sitting on a rock in the grass,United States,California,San Diego,17.3,0.0,0.4268,Moderate Vegetation,450.0
img_07443d0e93ad2579.jpg,Chroicocephalus novaehollandiae,Silver Gull,-34.9357916667,138.4972833333,2026-01-17,there is a bird that is laying on the sand with a pen,Australia,South Australia,Adelaide,22.8,0.0,-999.0,API Error,636.4
img_49d4a882d53c2413.jpg,Dryocopus martius,Black Woodpecker,58.5514130433,50.0841299259,2026-01-10,there is a bird that is sitting on a tree in the snow,Russia,Kirov Oblast,Kirovo-Chepetsk,-11.0,135.0,-0.0015,Non-Vegetated,1006.23
img_2290cbe5d9b28c36.jpg,Numenius phaeopus,Eurasian Whimbrel,52.1742351318,-6.3636046451,2007-04-29,there is a bird that is standing in the grass by the water,Ireland,The Borough District of Wexford,County Wexford,12.8,12.0,0.2177,Sparse/Bare Soil,4024.92
img_4a7278a33687f8f7.jpg,Coloeus monedula,Eurasian Jackdaw,53.3538492644,-6.3056753439,2007-04-14,there is a black bird sitting on a tree branch,Ireland,Leinster,Dublin,13.1,34.0,0.774,Dense Canopy,900.0
img_97db343b9187e748.jpg,Motacilla cinerea,Grey Wagtail,53.2424137945,-6.1220854275,2007-04-13,there is a bird that is sitting on a wire,Ireland,Leinster,Shankill,12.0,12.0,0.6206,Dense Canopy,0.0
img_db38e03322dde66a.jpg,Mareca strepera,Gadwall,52.2057055831,-6.3851933003,2007-04-29,there is a duck that is swimming in the water,Ireland,The Borough District of Wexford,County Wexford,12.8,3.0,-999.0,API Error,2250.0
img_3d7cbb29eb4ae15c.jpg,Calidris alpina,Dunlin,53.0896430378,-6.0379742927,2007-05-07,there is a bird that is standing in the water,Ireland,The Municipal District of Greystones,County Wicklow,11.9,0.0,0.7868,Dense Canopy,1006.23
img_699c27dfbc43af7e.jpg,Fulica atra,Eurasian Coot,52.2050409173,-6.3856654936,2007-04-29,there is a duck that is swimming in the water,Ireland,The Borough District of Wexford,County Wexford,12.8,3.0,0.2914,Sparse/Bare Soil,1909.19
img_ba2a109f9bad81b7.jpg,Haliaeetus leucocephalus,Bald Eagle,43.914525,-122.75657,2025-12-31,there is a bird that is flying over a rock in the water,United States,Oregon,Lowell,4.4,230.0,0.1342,Sparse/Bare Soil,0.0
img_3d44d76a622a8477.jpg,Cepphus grylle,Black Guillemot,53.2954472804,-6.1287496192,2007-04-09,several ducks swimming in a body of water with a bird flying above them,Ireland,Leinster,Dún Laoghaire,11.0,0.0,0.19,Sparse/Bare Soil,4867.49
img_8f5e89c0a2bef9df.jpg,Cepphus grylle,Black Guillemot,54.6665994545,-5.6655646226,2007-04-21,there is a black bird with a white spot on its chest,United Kingdom,Northern Ireland,Bangor,12.3,0.0,0.3193,Moderate Vegetation,2700.0
img_a2a9d2e30657a571.jpg,Anas crecca,Green-winged Teal,53.0965318881,-6.0412582557,2007-04-01,there is a duck standing on the grass by the water,Ireland,The Municipal District of Greystones,County Wicklow,7.9,0.0,0.5129,Moderate Vegetation,0.0
img_60b6a0b865e64d9c.jpg,Columba palumbus,Common Wood-Pigeon,53.2645797407,-6.0120194448,2007-03-31,there is a bird sitting on a branch of a tree,Ireland,Rural/Wilderness,Rural/Wilderness,8.5,0.0,-999.0,API Error,11031.89
img_ac3d80bd6c1b4623.jpg,Saxicola rubicola,European Stonechat,53.2463704581,-6.1133184427,2007-04-05,there is a small bird sitting on a branch of a tree,Ireland,Leinster,Dún Laoghaire-Rathdown,8.7,3.0,0.6376,Dense Canopy,0.0
img_731af4d0358ea74f.jpg,Sturnus vulgaris,European Starling,53.2461529142,-6.1133888027,2007-04-05,there is a black bird with a yellow beak sitting in the grass,Ireland,Leinster,Dún Laoghaire-Rathdown,8.7,3.0,0.6376,Dense Canopy,0.0
img_e2d6c671243026b8.jpg,Anartia amathea,Red Peacock,-24.588862389,-48.6284936339,2025-11-19,there is a butterfly that is sitting on a flower,Brazil,São Paulo,Iporanga,22.3,100.0,0.8386,Dense Canopy,0.0
img_66aa004104c26a19.jpg,Pararge aegeria,Speckled Wood,42.7857101352,-0.9197234362,2025-10-16,there is a butterfly that is sitting on a rock in the dirt,Spain,Navarre,Garde,13.8,745.0,0.6957,Dense Canopy,0.0
img_d5f1a90ac06adf1b.jpg,Passiflora caerulea,Bluecrown passionflower,-27.5069116667,-58.5734716667,2026-01-18,arafed flower on a plant with a person holding it,Argentina,Corrientes,Municipio de Santa Ana,28.1,55.0,0.6723,Dense Canopy,450.0
img_7c25904901e69271.jpg,Varanus salvator,Common Water Monitor,3.1407701,101.6946587997,2026-01-09,there is a lizard that is sitting on the edge of the water,Malaysia,Kuala Lumpur,Kuala Lumpur,26.7,34.0,0.256,Sparse/Bare Soil,0.0
img_342df6b918ef9bc9.jpg,Cyanistes caeruleus,Eurasian Blue Tit,48.8032475926,2.2674681659,2025-04-13,there is a small bird sitting on a branch of a tree,France,Ile-de-France,Clamart,14.0,102.0,0.426,Moderate Vegetation,3018.69
img_cdf5a5b6c8b0532f.jpg,Heterodontus portusjacksoni,Port Jackson Shark,-34.78535,138.47992,2026-01-16,there is a crab that is laying on the ground with some leaves,Australia,South Australia,Adelaide,20.0,0.0,-999.0,API Error,5418.72
img_89cae2efe133f064.jpg,Eremophila alpestris,Horned Lark,32.7570451995,-117.2393532341,2026-01-16,there is a bird that is standing on the sand in the sand,United States,California,San Diego,17.3,0.0,0.4268,Moderate Vegetation,450.0
img_ee9e9a4995988947.jpg,Passerculus sandwichensis,Savannah Sparrow,32.7570451995,-117.2393532341,2026-01-16,there is a bird that is sitting on a wooden fence,United States,California,San Diego,17.3,0.0,0.4268,Moderate Vegetation,450.0
img_29f657c22090a376.jpg,Egretta thula,Snowy Egret,32.7570451995,-117.2393532341,2026-01-16,there is a bird that is standing on a rock in the water,United States,California,San Diego,17.3,0.0,0.4268,Moderate Vegetation,450.0
img_51dfe32812da5f01.jpg,Quercus fusiformis,Texas live oak,29.4604928,-98.4905676,2026-01-17,there is a tree with green leaves growing next to a fence,United States,Texas,San Antonio,9.2,241.0,0.3528,Moderate Vegetation,1855.4
img_4b73b475cd37de6f.jpg,Heteronympha merope,Common Brown,-36.9832694444,142.4322944444,2025-12-21,there is a butterfly that is sitting on the ground,Australia,Victoria,Shire of Northern Grampians,15.7,251.0,0.7,Dense Canopy,450.0
img_20b5523b405a4200.jpg,Aegithalos caudatus,Long-tailed Tit,50.6582943076,-1.4109222683,2025-10-15,there is a small bird sitting on a branch in the woods,United Kingdom,England,Brighstone,12.1,99.0,0.8429,Dense Canopy,5867.28
img_b4f26c9e110805a1.jpg,Botaurus stellaris,Eurasian Bittern,52.2521763557,5.2969076893,2026-01-10,there is a small bird that is sitting in the snow,Netherlands,Utrecht,Eemnes,-3.5,-1.0,0.6811,Dense Canopy,1800.0
img_f8593462d3e70076.jpg,Mareca penelope,Eurasian Wigeon,52.2521763557,5.2969076893,2026-01-10,there is a duck that is swimming in the water,Netherlands,Utrecht,Eemnes,-3.5,-1.0,0.6811,Dense Canopy,1800.0
img_981ca321520c2eba.jpg,Turdus iliacus,Redwing,50.6583281294,-1.412910954,2025-10-15,there is a bird sitting on a branch in the tree,United Kingdom,England,Brighstone,11.4,133.0,0.8429,Dense Canopy,5867.28
img_5c213c214350abbc.jpg,Vanellus vanellus,Northern Lapwing,43.491056,4.408067,2024-07-16,there is a bird that is standing in the water with a stick in its mouth,France,Provence-Alpes-Côte d'Azur,Saintes-Maries-de-la-Mer,28.0,-1.0,0.4612,Moderate Vegetation,2700.0
img_30b244b9a09720a1.jpg,Haliaeetus albicilla,White-tailed Eagle,68.2566610733,14.7931568733,2024-10-05,there is a large bird that is flying over the water,Norway,Vågan,Vågan,2.5,0.0,-999.0,API Error,-999.0
img_003c74241c77525e.jpg,Vanessa atalanta,Red Admiral,42.7860649512,-0.9199923277,2025-10-16,there is a butterfly that is sitting on the ground,Spain,Navarre,Garde,13.8,746.0,0.6957,Dense Canopy,0.0
img_ad84b642b2d2ea08.jpg,Mareca americana,American Wigeon,32.7570451995,-117.2393532341,2026-01-16,there is a duck swimming in the water with a blue sky in the background,United States,California,San Diego,17.3,0.0,0.4268,Moderate Vegetation,450.0
img_1fad07a94e906a37.jpg,Mareca americana,American Wigeon,32.7570451995,-117.2393532341,2026-01-16,there is a duck swimming in the water with a blue sky in the background,United States,California,San Diego,17.3,0.0,0.4268,Moderate Vegetation,450.0
