filename,scientific_name,common_name,latitude,longitude,sighting_date,blip_caption
img_4f79cdef656bc61a.jpg,Icthyophaga vocifer,African Fish-Eagle,-8.0266916667,39.767575,2026-01-14,there is a bird that is sitting in a tree with no leaves
img_e2cb7d6ccd7ca03b.jpg,Orthetrum brunneum,Southern Skimmer,39.7765252628,45.5613901714,2025-06-18,there is a dragonfly that is sitting on a branch
img_6ec28c18c5deb490.jpg,Passerella iliaca,Fox Sparrow,41.3177020612,-81.485910019,2025-04-23,there is a small brown and white bird standing on the ground
img_0a1ae6753bb27195.jpg,Aegithalos caudatus,Long-tailed Tit,52.5294184253,13.4361611469,2025-12-14,there is a small bird sitting on a branch of a tree
img_86ae4e3daedff809.jpg,Strix aluco,Tawny Owl,54.6131681487,39.7322783657,2026-01-16,there is a owl that is sitting on a tree branch
img_78e6f58f8309dc39.jpg,Bombycilla garrulus,Bohemian Waxwing,54.6117798058,39.7479645528,2026-01-16,there is a bird sitting on a tree branch with no leaves
img_733fe2965fdd4ba2.jpg,Dendrocopos syriacus,Syrian Woodpecker,54.6100252968,39.7466127195,2026-01-16,there is a bird that is sitting on a branch in the tree
img_23d72cd522605fb3.jpg,Aythya ferina,Common Pochard,54.5448072595,17.7530871704,2026-01-18,there are three ducks swimming in the water together
img_9a0c77d998152618.jpg,Turdus merula,Eurasian Blackbird,48.8033571228,2.2677202974,2025-04-13,there is a black bird sitting on a branch in a tree
img_416e322573a4a70d.jpg,Rothschildia orizaba,Orizaba silkmoth,9.5525731944,-83.8067626944,2026-01-18,someone holding a moth in their hand with a person standing nearby
img_bf976a62c3406b72.jpg,Otospermophilus beecheyi,California Ground Squirrel,32.7570451995,-117.2393532341,2026-01-16,there is a squirrel that is standing on a rock in the grass
img_e5812ef103b796b4.jpg,Passerculus sandwichensis,Savannah Sparrow,32.7570451995,-117.2393532341,2026-01-16,there is a bird that is sitting on a rock in the grass
img_07443d0e93ad2579.jpg,Chroicocephalus novaehollandiae,Silver Gull,-34.9357916667,138.4972833333,2026-01-17,there is a bird that is laying on the sand with a pen
img_49d4a882d53c2413.jpg,Dryocopus martius,Black Woodpecker,58.5514130433,50.0841299259,2026-01-10,there is a bird that is sitting on a tree in the snow
img_2290cbe5d9b28c36.jpg,Numenius phaeopus,Eurasian Whimbrel,52.1742351318,-6.3636046451,2007-04-29,there is a bird that is standing in the grass by the water
img_4a7278a33687f8f7.jpg,Coloeus monedula,Eurasian Jackdaw,53.3538492644,-6.3056753439,2007-04-14,there is a black bird sitting on a tree branch
img_97db343b9187e748.jpg,Motacilla cinerea,Grey Wagtail,53.2424137945,-6.1220854275,2007-04-13,there is a bird that is sitting on a wire
img_db38e03322dde66a.jpg,Mareca strepera,Gadwall,52.2057055831,-6.3851933003,2007-04-29,there is a duck that is swimming in the water
img_3d7cbb29eb4ae15c.jpg,Calidris alpina,Dunlin,53.0896430378,-6.0379742927,2007-05-07,there is a bird that is standing in the water
img_699c27dfbc43af7e.jpg,Fulica atra,Eurasian Coot,52.2050409173,-6.3856654936,2007-04-29,there is a duck that is swimming in the water
img_ba2a109f9bad81b7.jpg,Haliaeetus leucocephalus,Bald Eagle,43.914525,-122.75657,2025-12-31,there is a bird that is flying over a rock in the water
img_3d44d76a622a8477.jpg,Cepphus grylle,Black Guillemot,53.2954472804,-6.1287496192,2007-04-09,several ducks swimming in a body of water with a bird flying above them
img_8f5e89c0a2bef9df.jpg,Cepphus grylle,Black Guillemot,54.6665994545,-5.6655646226,2007-04-21,there is a black bird with a white spot on its chest
img_a2a9d2e30657a571.jpg,Anas crecca,Green-winged Teal,53.0965318881,-6.0412582557,2007-04-01,there is a duck standing on the grass by the water
img_60b6a0b865e64d9c.jpg,Columba palumbus,Common Wood-Pigeon,53.2645797407,-6.0120194448,2007-03-31,there is a bird sitting on a branch of a tree
img_ac3d80bd6c1b4623.jpg,Saxicola rubicola,European Stonechat,53.2463704581,-6.1133184427,2007-04-05,there is a small bird sitting on a branch of a tree
img_731af4d0358ea74f.jpg,Sturnus vulgaris,European Starling,53.2461529142,-6.1133888027,2007-04-05,there is a black bird with a yellow beak sitting in the grass
img_e2d6c671243026b8.jpg,Anartia amathea,Red Peacock,-24.588862389,-48.6284936339,2025-11-19,there is a butterfly that is sitting on a flower
img_66aa004104c26a19.jpg,Pararge aegeria,Speckled Wood,42.7857101352,-0.9197234362,2025-10-16,there is a butterfly that is sitting on a rock in the dirt
img_d5f1a90ac06adf1b.jpg,Passiflora caerulea,Bluecrown passionflower,-27.5069116667,-58.5734716667,2026-01-18,arafed flower on a plant with a person holding it
img_7c25904901e69271.jpg,Varanus salvator,Common Water Monitor,3.1407701,101.6946587997,2026-01-09,there is a lizard that is sitting on the edge of the water
img_342df6b918ef9bc9.jpg,Cyanistes caeruleus,Eurasian Blue Tit,48.8032475926,2.2674681659,2025-04-13,there is a small bird sitting on a branch of a tree
img_cdf5a5b6c8b0532f.jpg,Heterodontus portusjacksoni,Port Jackson Shark,-34.78535,138.47992,2026-01-16,there is a crab that is laying on the ground with some leaves
img_89cae2efe133f064.jpg,Eremophila alpestris,Horned Lark,32.7570451995,-117.2393532341,2026-01-16,there is a bird that is standing on the sand in the sand
img_ee9e9a4995988947.jpg,Passerculus sandwichensis,Savannah Sparrow,32.7570451995,-117.2393532341,2026-01-16,there is a bird that is sitting on a wooden fence
img_29f657c22090a376.jpg,Egretta thula,Snowy Egret,32.7570451995,-117.2393532341,2026-01-16,there is a bird that is standing on a rock in the water
img_51dfe32812da5f01.jpg,Quercus fusiformis,Texas live oak,29.4604928,-98.4905676,2026-01-17,there is a tree with green leaves growing next to a fence
img_4b73b475cd37de6f.jpg,Heteronympha merope,Common Brown,-36.9832694444,142.4322944444,2025-12-21,there is a butterfly that is sitting on the ground
img_20b5523b405a4200.jpg,Aegithalos caudatus,Long-tailed Tit,50.6582943076,-1.4109222683,2025-10-15,there is a small bird sitting on a branch in the woods
